model,seed,easy,medium,hard,retried
gpt-4.1-mini,42,0.100,0.500,0.908,0
gpt-4.1-mini,42,0.900,0.205,0.346,0
gpt-4.1-mini,43,0.100,0.357,0.961,0
gpt-4.1-mini,43,0.160,0.080,0.172,0
gpt-4.1-mini,44,0.160,0.080,0.160,0
gpt-4.1-mini,44,0.160,0.160,0.456,1
gpt-4.1,42,0.156,0.192,0.160,0
gpt-4.1,42,0.100,0.044,0.062,0
gpt-4.1,43,0.160,0.067,0.917,0
gpt-4.1,43,0.160,0.939,0.044,0
gpt-4.1,44,0.160,0.100,0.160,0
o4-mini,42,0.100,0.922,0.160,0
gpt-4.1,44,0.188,0.917,0.253,0
o4-mini,43,0.100,0.925,0.160,0
o4-mini,42,0.160,0.950,0.925,0
o4-mini,44,0.000,0.160,0.900,1
o4-mini,43,0.900,0.248,0.939,1
o4-mini,44,0.900,0.908,0.033,0
